"User_hour_ID","Total_steps","Total_distancce","Total_calories","percent_activities","Number_of_samples","rec_no","id","device_id"
"Test on Fri Jun 03 22:38:57 CEST 2016","0","0.0","0.0","0.0","0","2","1","395a4c4eeafa553e"
"_2016_6_3_17","0","0.0","0.0","0.0","3","5","2","395a4c4eeafa553e"
"_2016_6_3_18","0","0.0","0.0","0.0","2","6","3","395a4c4eeafa553e"
"_2016_5_22_10","802","637.21","30.0","0.3389830508474576","78","3","4","395a4c4eeafa553e"
"_2016_5_22_11","702","507.1300000000001","22.489999999999995","0.11864406779661017","40","4","5","395a4c4eeafa553e"
"Test on Fri Jun 03 22:38:52 CEST 2016","0","0.0","0.0","0.0","0","1","6","395a4c4eeafa553e"
"_2016_6_3_19","87","64.16","3.06","0.05084745762711865","18","7","7","395a4c4eeafa553e"
"_2016_6_3_20","0","0.0","0.0","0.0","2","8","8","395a4c4eeafa553e"
"_2016_6_3_21","393","266.05","13.15","0.15254237288135594","19","9","9","395a4c4eeafa553e"
"_2016_6_3_22","28","25.99000000000001","1.0899999999999999","0.0","2","10","10","395a4c4eeafa553e"
"hoanghuuson_2016_6_4_9","556","407.71","18.73","0.3728813559322034","8","11","11","395a4c4eeafa553e"
"hoanghuuson_2016_6_10_11","733","555.24","25.279999999999998","0.1864406779661017","43","13","12","395a4c4eeafa553e"
"hoanghuuson_2016_6_10_12","0","0.0","0.0","0.0","3","14","13","395a4c4eeafa553e"
"hoanghuuson_2016_6_10_13","73","54.64999999999998","2.479999999999997","0.03389830508474576","21","15","14","395a4c4eeafa553e"
"hoanghuuson_2016_6_10_14","30","23.04","1.02","0.0","8","16","15","395a4c4eeafa553e"
"hoanghuuson_2016_6_10_15","0","0.0","0.0","0.0","2","17","16","395a4c4eeafa553e"
"hoanghuuson_2016_6_10_10","331","234.54000000000002","11.05","0.05084745762711865","22","12","17","395a4c4eeafa553e"
"user001_2016_6_26_10","980","832.36","42.32","-0.05084745762711865","188","1","18","395a4c4eeafa553e"
"user001_2016_6_27_13","247","173.94","8.169999999999998","0.2542372881355932","31","2","19","395a4c4eeafa553e"
"user001_2016_6_27_14","0","0.0","0.0","0.0","1","3","20","395a4c4eeafa553e"
"user001_2016_6_27_15","242","157.26","7.85","0.05084745762711865","16","4","21","395a4c4eeafa553e"
"user001_2016_6_27_16","471","309.39","15.83","0.0","11","5","22","395a4c4eeafa553e"
"user001_2016_6_27_17","0","0.0","0.0","0.0","2","6","23","395a4c4eeafa553e"
"user001_2016_6_27_18","0","0.0","0.0","0.0","3","7","24","395a4c4eeafa553e"
"user001_2016_6_27_19","0","0.0","0.0","0.0","2","8","25","395a4c4eeafa553e"
"user001_2016_6_27_20","1120","853.53","36.65","0.01694915254237288","19","9","26","395a4c4eeafa553e"
"user001_2016_6_27_21","102","75.07000000000005","3.4100000000000037","0.05084745762711865","9","10","27","395a4c4eeafa553e"
"user001_2016_6_28_9","601","493.25","22.87","0.1016949152542373","53","11","28","395a4c4eeafa553e"
