"User_hour_ID","Position","Location_x_avg","Location_y_avg","Variance_location","NumberOfCall","CallTime","NumberOfSMS","Total_touch","Touch_avg","Variance_touch","In_percent","Change_rate","rec_no","id","device_id","DisconnectPercent","activePercent","inActivePercent"
"abc_2016_6_3_17","Universitätsstraße 11, 58097 Hagen, ","51.3769488573539","7.4948164262719965","4.802738059551279E-14","0","0","0","0","0.0","0.0","1.0","0.0","1","1","395a4c4eeafa553e","0.0","0.0","1.0"
"abc_2016_6_3_18","Universitätsstraße 11, 58097 Hagen, ","51.3769488573539","7.4948164262719965","2.537145046425895E-14","0","0","0","0","0.0","0.0","1.0","0.0","2","2","395a4c4eeafa553e","0.0","0.0","1.0"
"abc_2016_6_3_19","Universitätsstraße 11, 58097 Hagen, ","51.3769488573539","7.4948164262719965","2.537145046425895E-14","0","0","0","0","0.0","0.0","1.0","0.0","3","3","395a4c4eeafa553e","0.0","0.0","1.0"
"abc_2016_6_6_12","Unknown","0.0","0.0","49.0","0","0","0","183489","3744.673469387755","76.92028249665678","1.0","0.0","6","6","395a4c4eeafa553e","0.0","0.24489795918367346","0.7551020408163265"
"abc_2016_6_6_13","Universitätsstraße 21, 58097 Hagen, ","45.383538843385544","6.74722379305726","62.1489906297668","0","0","0","0","0.0","0.0","1.0","0.0","7","7","395a4c4eeafa553e","0.0","0.0","1.0"
"abc_2016_6_6_14","Universitätsstraße 21, 58097 Hagen, ","51.37806558122926","7.497914191540816","61.00000000000001","0","0","0","0","0.0","0.0","1.0","0.0","8","8","395a4c4eeafa553e","0.0","0.0","1.0"
"abc_2016_6_6_15","Universitätsstraße 21, 58097 Hagen, ","51.37806558122926","7.497914191540816","59.00000000000001","0","0","0","0","0.0","0.0","1.0","0.0","9","9","395a4c4eeafa553e","0.0","0.0","1.0"
"abc_2016_6_6_16","Universitätsstraße 21, 58097 Hagen, ","51.37806558122925","7.497914191540816","50.00000000000001","0","0","0","0","0.0","0.0","1.0","0.0","10","10","395a4c4eeafa553e","0.0","0.0","1.0"
"abc_2016_6_6_17","Universitätsstraße 21, 58097 Hagen, ","51.37806558122925","7.497914191540816","54.00000000000001","0","0","0","0","0.0","0.0","1.0","0.0","11","11","395a4c4eeafa553e","0.0","0.0","1.0"
"abc_2016_6_6_19","Universitätsstraße 21, 58097 Hagen, ","51.37806558122921","7.497914191540818","25.000000000000004","0","0","0","0","0.0","0.0","1.0","0.0","12","12","395a4c4eeafa553e","0.0","0.0","1.0"
"abc_2016_6_6_22","Im Alten Holz 135, 58093 Hagen, ","51.377049466788264","7.497767491864049","28.001092235320915","0","0","0","0","0.0","0.0","0.10714286","0.0","13","13","395a4c4eeafa553e","0.42372882","0.0","1.0"
"abc_2016_6_7_0","Exterweg 20, 58093 Hagen, ","51.37747515987246","7.5092254916766485","12.00018632728116","0","0","0","0","0.0","0.0","1.0","0.0","14","14","395a4c4eeafa553e","0.0","0.0","1.0"
"abc_2016_6_7_12","Unknown","51.37655683555391","7.495057354738247","50.00012952565285","0","0","0","0","0.0","0.0","1.0","0.0","15","29","395a4c4eeafa553e","0.0","0.0","1.0"
"abc_2016_6_7_13","Universitätsstraße 11, 58097 Hagen, ","51.3769376595149","7.49520937276507","60.00011236214587","0","0","0","0","0.0","0.0","0.98333335","0.0","16","32","395a4c4eeafa553e","0.016949153","0.0","1.0"
"abc_2016_6_7_14","Universitätsstraße 11, 58097 Hagen, ","51.376457578851394","7.494844886714644","43.00000000000001","0","0","0","0","0.0","0.0","1.0","0.0","17","33","395a4c4eeafa553e","0.0","0.0","1.0"
"abc_2016_6_7_15","Universitätsstraße 11, 58097 Hagen, ","51.37645757885142","7.494844886714644","12.0","0","0","0","0","0.0","0.0","1.0","0.0","18","34","395a4c4eeafa553e","0.0","0.0","1.0"
"abc_2016_6_7_16","Universitätsstraße 11, 58097 Hagen, ","51.37645757885142","7.494844886714644","12.0","0","0","0","0","0.0","0.0","1.0","0.0","19","35","395a4c4eeafa553e","0.0","0.0","1.0"
"abc_2016_6_8_14","Universitätsstraße 11, 58097 Hagen, ","51.37696091487805","7.494843495476461","32.0","0","0","0","0","0.0","0.0","0.9375","0.0","22","51","395a4c4eeafa553e","0.033898305","0.0","1.0"
"hoanghuuson_2016_6_10_8","Universitätsstraße 11, 58097 Hagen, ","51.37390399431785","7.50667680882904","8.0027360636565","0","0","0","0","0.0","0.0","0.0","0.0","23","52","395a4c4eeafa553e","0.13559322","0.0","1.0"
"hoanghuuson_2016_6_10_9","Universitätsstraße 21, 58097 Hagen, ","51.376621700460866","7.494971741505256","12.000142662436906","0","0","0","0","0.0","0.0","0.9166667","0.0","24","53","395a4c4eeafa553e","0.016949153","0.0","1.0"
