"User_hour_ID","User_daily_ID","Hour","MoodEA","MoodTA","Health","Location","Activity","rec_no","id","device_id"
"abc_2016_6_3_17","abc_2016_6_3","17","2","1","Good","Office (University)","Academic","1","1","395a4c4eeafa553e"
"abc_2016_6_3_18","abc_2016_6_3","18","0","0","Good","Home","Academic","2","2","395a4c4eeafa553e"
"abc_2016_6_3_20","abc_2016_6_3","20","0","2","Bad","Office (University)","Relaxing activities","3","3","395a4c4eeafa553e"
"_2016_6_3_23","_2016_6_3","23","0","0","Bad","Home","Relaxing activities","6","4","395a4c4eeafa553e"
"abc_2016_6_3_22","abc_2016_6_3","22","0","0","Good","Home","Academic","4","5","395a4c4eeafa553e"
"_2016_6_3_22","_2016_6_3","22","0","1","Good","Home","Academic","5","6","395a4c4eeafa553e"
"abc_2016_6_6_13","abc_2016_6_6","13","3","1","Good","Office (University)","Academic","7","7","395a4c4eeafa553e"
"abc_2016_6_6_14","abc_2016_6_6","14","2","1","Good","Office (University)","Academic","8","8","395a4c4eeafa553e"
"abc_2016_6_6_16","abc_2016_6_6","16","2","1","Good","Office (University)","Academic","9","9","395a4c4eeafa553e"
"abc_2016_6_6_17","abc_2016_6_6","17","0","0","Good","Home","Academic","10","10","395a4c4eeafa553e"
"abc_2016_6_6_19","abc_2016_6_6","19","0","0","Good","Home","Academic","11","11","395a4c4eeafa553e"
"abc_2016_6_7_0","abc_2016_6_7","0","0","0","Good","Home","Academic","15","12","395a4c4eeafa553e"
"abc_2016_6_7_1","abc_2016_6_7","1","1","2","Bad","Home","Social activity","16","13","395a4c4eeafa553e"
"abc_2016_6_6_20","abc_2016_6_6","20","0","0","Good","Home","Academic","12","14","395a4c4eeafa553e"
"abc_2016_6_6_21","abc_2016_6_6","21","0","0","Good","Home","Academic","13","15","395a4c4eeafa553e"
"abc_2016_6_6_22","abc_2016_6_6","22","0","0","Good","Home","Academic","14","16","395a4c4eeafa553e"
"_2016_6_7_1","_2016_6_7","1","1","2","Bad","Home","Social activity","17","17","395a4c4eeafa553e"
"abc_2016_6_7_12","abc_2016_6_7","12","1","2","Normal","Office (University)","Offical Task","18","18","395a4c4eeafa553e"
