"User_hour_ID","Weather_status","Temperature","Huminidy","Pressure","rec_no","id","device_id"
"abc_2016_6_3_17","Rain","22.9°C","68.0 %","1011.0 hpa","1","1","395a4c4eeafa553e"
"abc_2016_6_3_18","Rain","22.2°C","77.0 %","1011.0 hpa","2","2","395a4c4eeafa553e"
"abc_2016_6_3_19","Rain","22.7°C","73.0 %","1011.0 hpa","3","3","395a4c4eeafa553e"
"abc_2016_6_3_20","Rain","21.5°C","73.0 %","1011.0 hpa","4","4","395a4c4eeafa553e"
"abc_2016_6_6_13","Rain","20.0°C","77.0 %","998.0 hpa","5","5","395a4c4eeafa553e"
"abc_2016_6_6_14","Clear","26.1°C","60.0 %","1021.0 hpa","6","6","395a4c4eeafa553e"
"abc_2016_6_6_15","Clear","26.8°C","57.0 %","1020.0 hpa","7","7","395a4c4eeafa553e"
"abc_2016_6_6_16","Clear","25.2°C","64.0 %","1020.0 hpa","8","8","395a4c4eeafa553e"
"abc_2016_6_6_17","Clear","25.4°C","64.0 %","1020.0 hpa","9","9","395a4c4eeafa553e"
"abc_2016_6_6_18","Clouds","26.1°C","57.0 %","1019.0 hpa","10","10","395a4c4eeafa553e"
"abc_2016_6_6_20","Clear","25.2°C","64.0 %","1020.0 hpa","11","11","395a4c4eeafa553e"
"abc_2016_6_7_0","Fog","20.8°C","93.0 %","1020.0 hpa","12","12","395a4c4eeafa553e"
"abc_2016_6_7_1","Clouds","19.4°C","73.0 %","1022.0 hpa","13","13","395a4c4eeafa553e"
"abc_2016_6_7_12","Clear","27.7°C","57.0 %","1022.0 hpa","14","14","395a4c4eeafa553e"
"abc_2016_6_7_14","Clear","28.8°C","36.0 %","1021.0 hpa","15","15","395a4c4eeafa553e"
"abc_2016_6_7_15","Rain","24.2°C","34.0 %","1021.0 hpa","16","16","395a4c4eeafa553e"
"abc_2016_6_7_16","Rain","19.5°C","56.0 %","1021.0 hpa","17","17","395a4c4eeafa553e"
"abc_2016_6_7_17","Rain","18.6°C","63.0 %","1021.0 hpa","18","18","395a4c4eeafa553e"
"abc_2016_6_8_15","Clear","23.0°C","37.0 %","18.0 hpa","21","21","395a4c4eeafa553e"
"hoanghuuson_2016_6_10_9","Clouds","14.4°C","76.0 %","1015.0 hpa","22","22","395a4c4eeafa553e"
"hoanghuuson_2016_6_10_10","Clouds","14.4°C","76.0 %","1015.0 hpa","23","23","395a4c4eeafa553e"
"hoanghuuson_2016_6_10_11","Clouds","17.6°C","58.0 %","1015.0 hpa","24","24","395a4c4eeafa553e"
"hoanghuuson_2016_6_10_12","Clouds","19.7°C","53.0 %","1015.0 hpa","25","25","395a4c4eeafa553e"
"hoanghuuson_2016_6_10_13","Clouds","21.1°C","25.0 %","13.0 hpa","26","26","395a4c4eeafa553e"
"hoanghuuson_2016_6_10_14","Clouds","22.0°C","39.0 %","1015.0 hpa","27","27","395a4c4eeafa553e"
"hoanghuuson_2016_6_10_15","Clouds","22.0°C","0.0 %","13.0 hpa","28","28","395a4c4eeafa553e"
"hoanghuuson_2016_6_10_16","Clouds","23.0°C","32.0 %","1014.0 hpa","29","29","395a4c4eeafa553e"
"hoanghuuson_2016_6_10_17","Clouds","23.0°C","34.0 %","1014.0 hpa","30","30","395a4c4eeafa553e"
"hoanghuuson_2016_6_10_22","Clouds","18.9°C","50.0 %","1012.0 hpa","31","31","395a4c4eeafa553e"
"hoanghuuson_2016_6_10_23","Clouds","18.1°C","52.0 %","1013.0 hpa","32","32","395a4c4eeafa553e"
"hoanghuuson_2016_6_11_0","Clouds","16.7°C","66.0 %","1011.0 hpa","33","33","395a4c4eeafa553e"
"hoanghuuson_2016_6_11_1","Clouds","16.2°C","70.0 %","1011.0 hpa","34","34","395a4c4eeafa553e"
"hoanghuuson_2016_6_11_2","Clouds","15.5°C","70.0 %","1011.0 hpa","35","35","395a4c4eeafa553e"
"hoanghuuson_2016_6_11_3","Clouds","15.5°C","70.0 %","1011.0 hpa","36","36","395a4c4eeafa553e"
"hoanghuuson_2016_6_11_4","Clouds","14.9°C","63.0 %","1012.0 hpa","37","37","395a4c4eeafa553e"
"hoanghuuson_2016_6_11_5","Clouds","14.5°C","64.0 %","1012.0 hpa","38","38","395a4c4eeafa553e"
"hoanghuuson_2016_6_11_6","Clouds","14.1°C","70.0 %","1005.0 hpa","39","39","395a4c4eeafa553e"
"hoanghuuson_2016_6_11_7","Clouds","14.1°C","70.0 %","1005.0 hpa","40","40","395a4c4eeafa553e"
"hoanghuuson_2016_6_11_8","Clouds","14.5°C","68.0 %","1012.0 hpa","41","41","395a4c4eeafa553e"
"hoangdd_2016_6_12_11","Clouds","25.3°C","59.0 %","985.0 hpa","3","42","4272d75310352dbb"
"hoangdd_2016_6_12_12","Rain","24.6°C","66.0 %","986.0 hpa","4","43","4272d75310352dbb"
"hoangdd_2016_6_12_13","Clouds","24.3°C","95.0 %","959.0 hpa","5","44","4272d75310352dbb"
"hoangdd_2016_6_12_14","Rain","22.4°C","48.0 %","993.0 hpa","6","45","4272d75310352dbb"
"hoanghuuson_2016_6_16_18","Rain","16.7°C","73.0 %","1004.0 hpa","42","46","395a4c4eeafa553e"
"hoanghuuson_2016_6_16_19","Rain","16.7°C","73.0 %","1004.0 hpa","43","47","395a4c4eeafa553e"
"hoanghuuson_2016_6_16_20","Rain","16.1°C","87.0 %","1001.0 hpa","44","48","395a4c4eeafa553e"
"hoanghuuson_2016_6_16_21","Rain","15.9°C","71.0 %","1004.0 hpa","45","49","395a4c4eeafa553e"
"hoanghuuson_2016_6_16_22","Rain","15.1°C","87.0 %","1002.0 hpa","46","50","395a4c4eeafa553e"
"hoanghuuson_2016_6_16_23","Rain","15.1°C","87.0 %","1002.0 hpa","47","51","395a4c4eeafa553e"
"hoanghuuson_2016_6_17_0","Rain","14.8°C","93.0 %","996.3 hpa","48","52","395a4c4eeafa553e"
"hoanghuuson_2016_6_17_1","Rain","14.1°C","91.0 %","1001.0 hpa","49","53","395a4c4eeafa553e"
"test1_2016_6_24_13","Rain","25.3°C","40.0 %","15.0 hpa","50","54","395a4c4eeafa553e"
"test1_2016_6_24_14","Clouds","25.1°C","69.0 %","1017.0 hpa","51","55","395a4c4eeafa553e"
"user001_2016_6_24_15","Clouds","24.8°C","69.0 %","1017.0 hpa","1","56","395a4c4eeafa553e"
"user001_2016_6_24_16","Clouds","24.6°C","69.0 %","1017.0 hpa","2","57","395a4c4eeafa553e"
"user001_2016_6_24_18","Clouds","24.3°C","73.0 %","1017.0 hpa","3","58","395a4c4eeafa553e"
"user001_2016_6_24_19","Rain","24.4°C","78.0 %","1017.0 hpa","4","59","395a4c4eeafa553e"
"user001_2016_6_24_20","Rain","23.2°C","73.0 %","1018.0 hpa","5","60","395a4c4eeafa553e"
"user001_2016_6_24_22","Rain","22.9°C","77.0 %","1017.0 hpa","6","62","395a4c4eeafa553e"
"user001_2016_6_24_23","Clouds","20.8°C","77.0 %","1018.0 hpa","7","63","395a4c4eeafa553e"
"test_2016_6_25_10","Clouds","23.5°C","68.0 %","957.0 hpa","1","65","4272d75310352dbb"
